Timestamp(s) KE PE
6.23 3.3130048 12.547379
6.24 3.6294109 12.230901
6.25 3.9602615 11.899978
6.26 4.3055566 11.55461
6.27 4.6652964 11.194799
6.28 5.0394807 10.820542
6.29 5.4281095 10.431841
6.3 5.8311829 10.028695
6.31 6.2487009 9.6111051
6.32 6.6806634 9.1790703
6.33 7.1270705 8.732591
6.34 7.5879222 8.2716671
6.35 8.0632184 7.7962987
6.36 8.5529592 7.3064857
6.37 9.0571445 6.8022281
6.38 9.5757744 6.283526
6.39 10.108849 5.7503793
6.4 10.656368 5.2027881
6.41 11.218332 4.6407522
6.42 11.79474 4.0642719
6.43 12.385592 3.4733469
6.44 12.99089 2.8679774
6.45 13.076008 2.7751472
6.46 12.468707 3.3823762
6.47 11.87585 3.9751607
6.48 11.297438 4.5535006
6.49 10.73347 5.117396
6.5 10.183947 5.6668468
6.51 9.6488687 6.201853
6.52 9.1282348 6.7224147
6.53 8.6220454 7.2285318
6.54 8.1303007 7.7202044
6.55 7.6530004 8.1974324
6.56 7.1901448 8.6602158
6.57 6.7417337 9.1085547
6.58 6.3077672 9.542449
6.59 5.8882452 9.9618988
6.6 5.4831678 10.366904
6.61 5.0925349 10.757465
6.62 4.7163466 11.133581
6.63 4.3546029 11.495252
6.64 4.0073038 11.842479
6.65 3.6744492 12.175261
6.66 3.3560391 12.493599
6.67 3.0520736 12.797493
6.68 2.7625527 13.086941
6.69 2.4874764 13.361945
6.7 2.2268446 13.622505
6.71 1.9806573 13.86862
6.72 1.7489147 14.10029
6.73 1.5316165 14.317516
6.74 1.328763 14.520298
6.75 1.140354 14.708634
6.76 0.96638958 14.882527
6.77 0.80686971 15.041974
6.78 0.6617944 15.186977
6.79 0.53116366 15.317536
6.8 0.41497748 15.43365
6.81 0.31323586 15.535319
6.82 0.2259388 15.622544
6.83 0.1530863 15.695324
6.84 0.094678366 15.75366
6.85 0.050714991 15.797551
6.86 0.021196178 15.826998
6.87 0.0061219261 15.842
6.88 0.0054922355 15.842557
6.89 0.019307106 15.82867
6.9 0.047566539 15.800339
6.91 0.090270532 15.757562
6.92 0.14741909 15.700342
6.93 0.2190122 15.628676
6.94 0.30504988 15.542566
6.95 0.40553212 15.442012
6.96 0.52045892 15.327013
6.97 0.64983028 15.197569
6.98 0.79364621 15.053681
6.99 0.95190669 14.895348
7 1.1246117 14.722571
7.01 1.3117613 14.535349
7.02 1.5133555 14.333683
7.03 1.7293942 14.117572
7.04 1.9598775 13.887016
7.05 2.2048054 13.642016
7.06 2.4641778 13.382572
7.07 2.7379948 13.108682
7.08 3.0262563 12.820349
7.09 3.3289624 12.51757
7.1 3.6461131 12.200348
7.11 3.9777083 11.86868
7.12 4.3237481 11.522568
7.13 4.6842324 11.162011
7.14 5.0591613 10.78701
7.15 5.4485348 10.397565
7.16 5.8523528 9.9936744
7.17 6.2706154 9.5753396
7.18 6.7033226 9.1425602
7.19 7.1504743 8.6953363
7.2 7.6120706 8.2336678
7.21 8.0881114 7.7575547
7.22 8.5785968 7.2669971
7.23 9.0835268 6.7619949
7.24 9.6029013 6.2425482
7.25 10.13672 5.7086569
7.26 10.684984 5.160321
7.27 11.247692 4.5975406
7.28 11.824845 4.0203156
7.29 12.416442 3.4286461
7.3 13.022484 2.8225319
7.31 13.016919 2.8204292
7.32 12.411008 3.4262677
7.33 11.819542 4.0176618
7.34 11.24252 4.5946112
7.35 10.679943 5.1571161
7.36 10.131811 5.7051764
7.37 9.5981228 6.2387922
7.38 9.0788793 6.7579634
7.39 8.5740805 7.26269
7.4 8.0837262 7.7529721
7.41 7.6078164 8.2288097
7.42 7.1463512 8.6902026
7.43 6.6993306 9.137151
7.44 6.2667546 9.5696549
7.45 5.8486231 9.9877141
7.46 5.4449361 10.391329
7.47 5.0556937 10.780499
7.48 4.6808959 11.155225
7.49 4.3205427 11.515506
7.5 3.974634 11.861342
7.51 3.6431698 12.192734
7.52 3.3261503 12.509681
7.53 3.0235753 12.812184
7.54 2.7354448 13.100242
7.55 2.4617589 13.373856
7.56 2.2025176 13.633025
7.57 1.9577209 13.87775
7.58 1.7273687 14.10803
7.59 1.511461 14.323865
7.6 1.3099979 14.525256
7.61 1.1229794 14.712202
7.62 0.95040546 14.884704
7.63 0.79227607 15.042761
7.64 0.64859123 15.186374
7.65 0.51935096 15.315542
7.66 0.40455525 15.430265
7.67 0.3042041 15.530544
7.68 0.21829751 15.616379
7.69 0.14683549 15.687768
7.7 0.089818025 15.744714
7.71 0.047245122 15.787214
7.72 0.01911678 15.81527
7.73 0.0054329998 15.828882
7.74 0.006193781 15.828049
7.75 0.021399124 15.812771
7.76 0.051049028 15.783049
7.77 0.095143493 15.738883
7.78 0.15368252 15.680271
7.79 0.22666611 15.607216
7.8 0.31409426 15.519715
7.81 0.41596697 15.41777
7.82 0.53228424 15.301381
7.83 0.66304607 15.170547
7.84 0.80825247 15.025268
7.85 0.96790343 14.865545
7.86 1.1419989 14.691377
7.87 1.330539 14.502765
7.88 1.5335237 14.299708
7.89 1.7509529 14.082207
7.9 1.9828266 13.850261
7.91 2.229145 13.60387
7.92 2.4899078 13.343035
7.93 2.7651153 13.067755
7.94 3.0547673 12.778031
7.95 3.3588639 12.473862
7.96 3.677405 12.155249
7.97 4.0103907 11.822191
7.98 4.357821 11.474688
7.99 4.7196958 11.112741
8 5.0960151 10.73635
8.01 5.4867791 10.345514
8.02 5.8919876 9.9402329
8.03 6.3116406 9.5205076
8.04 6.7457383 9.0863378
8.05 7.1942805 8.6377234
8.06 7.6572672 8.1746644
8.07 8.1346985 7.6971609
8.08 8.6265744 7.2052128
8.09 9.1328948 6.6988201
8.1 9.6536598 6.1779829
8.11 10.188869 5.6427011
8.12 10.738523 5.0929748
8.13 11.302622 4.5288039
8.14 11.881165 3.9501884
8.15 12.474153 3.3571284
8.16 13.081586 2.7496238
8.17 12.929855 2.8928743
8.18 12.325999 3.4966584
